transaction_id,date,amount,merchant,description
TXN-202603-011,2026-03-01,8974.24,Farmacity,FARMACITY SUCURSAL CENTRO
TXN-202603-019,2026-03-04,1799.87,Comision Bancaria,COMISION MANTENIMIENTO CTA
TXN-202603-014,2026-03-07,6102.74,Express Courier,EXPRESS COURIER ENVIOS
TXN-202603-003,2026-03-09,14853.27,PedidosYa,PEDIDOSYA DELIVERY
TXN-202603-015,2026-03-10,30150.33,Coto,COTO CICSA SUPERMERCADO
TXN-202603-018,2026-03-10,19164.52,Mercado Pago,PAGO MERCADO PAGO QR
TXN-202603-010,2026-03-11,14880.74,PedidosYa,PEDIDOSYA DELIVERY
TXN-202603-001,2026-03-16,2626.04,Uber,VIAJE UBER *TRIP
TXN-202603-009,2026-03-19,6959.06,Rappi,RAPPI ARGENTINA SA
TXN-202603-007,2026-03-20,19370.94,PetroSur,PETROSUR COMBUSTIBLE
TXN-202603-006,2026-03-21,4225.37,PedidosYa,PEDIDOSYA DELIVERY
TXN-202603-013,2026-03-22,4209.18,Uber,VIAJE UBER *TRIP
TXN-202603-004,2026-03-25,9282.00,Express Courier,EXPRESS COURIER ENVIOS
TXN-202603-016,2026-03-25,20982.34,PetroSur,PETROSUR COMBUSTIBLE
TXN-202603-002,2026-03-27,78216.03,Coto,COTO CICSA SUPERMERCADO
TXN-202603-005,2026-03-27,33092.25,PetroSur,PETROSUR COMBUSTIBLE
TXN-202603-008,2026-03-28,48999.56,Carrefour,CARREFOUR HIPERMERCADO
TXN-202603-012,2026-03-29,43258.35,Coto,COTO CICSA SUPERMERCADO
TXN-202603-017,2026-03-31,68760.03,Transferencia,TRANSFERENCIA A TERCEROS
