transaction_id,date,amount,merchant,description
TXN-202605-005,2026-05-03,13229.46,Rappi,RAPPI ARGENTINA SA
TXN-202605-001,2026-05-04,73331.86,Carrefour,CARREFOUR HIPERMERCADO
TXN-202605-022,2026-05-04,3845.44,Comision Bancaria,COMISION MANTENIMIENTO CTA
TXN-202605-019,2026-05-07,57633.28,Coto,COTO CICSA SUPERMERCADO
TXN-202605-016,2026-05-09,22994.69,Farmacity,FARMACITY SUCURSAL CENTRO
TXN-202605-018,2026-05-09,3966.42,Express Courier,EXPRESS COURIER ENVIOS
TXN-202605-021,2026-05-09,15942.55,Mercado Pago,PAGO MERCADO PAGO QR
TXN-202605-017,2026-05-10,5276.97,PedidosYa,PEDIDOSYA DELIVERY
TXN-202605-008,2026-05-11,37092.29,PetroSur,PETROSUR COMBUSTIBLE
TXN-202605-012,2026-05-11,2201.80,Uber,VIAJE UBER *TRIP
TXN-202605-006,2026-05-12,8969.41,Express Courier,EXPRESS COURIER ENVIOS
TXN-202605-004,2026-05-15,11811.85,Movistar,TELEFONICA MOVISTAR ARG
TXN-202605-011,2026-05-17,26194.38,PetroSur,PETROSUR COMBUSTIBLE
TXN-202605-007,2026-05-18,4261.03,Uber,VIAJE UBER *TRIP
TXN-202605-009,2026-05-19,29975.34,PetroSur,PETROSUR COMBUSTIBLE
TXN-202605-014,2026-05-22,33199.58,LuzSur,LUZSUR DISTRIBUIDORA ELEC
TXN-202605-020,2026-05-24,118232.26,Transferencia,TRANSFERENCIA A TERCEROS
TXN-202605-002,2026-05-26,79849.25,Coto,COTO CICSA SUPERMERCADO
TXN-202605-013,2026-05-26,28975.38,YPF,YPF ESTACION DE SERVICIO
TXN-202605-010,2026-05-27,8371.61,Express Courier,EXPRESS COURIER ENVIOS
TXN-202605-015,2026-05-29,3332.45,Express Courier,EXPRESS COURIER ENVIOS
TXN-202605-003,2026-05-30,4268.67,Express Courier,EXPRESS COURIER ENVIOS
