transaction_id,date,amount,merchant,description
TXN-202604-011,2026-04-02,5030.32,Uber,VIAJE UBER *TRIP
TXN-202604-014,2026-04-05,30260.37,PetroSur,PETROSUR COMBUSTIBLE
TXN-202604-018,2026-04-06,21283.19,Mercado Pago,PAGO MERCADO PAGO QR
TXN-202604-009,2026-04-07,25043.70,LuzSur,LUZSUR DISTRIBUIDORA ELEC
TXN-202604-010,2026-04-07,11014.06,Movistar,TELEFONICA MOVISTAR ARG
TXN-202604-008,2026-04-08,39093.59,LuzSur,LUZSUR DISTRIBUIDORA ELEC
TXN-202604-015,2026-04-09,41498.39,PetroSur,PETROSUR COMBUSTIBLE
TXN-202604-001,2026-04-11,10068.91,PedidosYa,PEDIDOSYA DELIVERY
TXN-202604-006,2026-04-11,7331.35,Cabify,CABIFY VIAJE APP
TXN-202604-005,2026-04-12,86330.51,Carrefour,CARREFOUR HIPERMERCADO
TXN-202604-007,2026-04-14,7576.15,Farmacity,FARMACITY SUCURSAL CENTRO
TXN-202604-013,2026-04-14,18353.21,YPF,YPF ESTACION DE SERVICIO
TXN-202604-003,2026-04-15,32915.60,PetroSur,PETROSUR COMBUSTIBLE
TXN-202604-002,2026-04-17,8223.53,Rappi,RAPPI ARGENTINA SA
TXN-202604-012,2026-04-19,7782.37,Cabify,CABIFY VIAJE APP
TXN-202604-019,2026-04-19,2672.31,Comision Bancaria,COMISION MANTENIMIENTO CTA
TXN-202604-017,2026-04-28,108008.93,Transferencia,TRANSFERENCIA A TERCEROS
TXN-202604-004,2026-04-30,39500.43,PetroSur,PETROSUR COMBUSTIBLE
TXN-202604-016,2026-04-30,56066.44,Coto,COTO CICSA SUPERMERCADO
